bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
88,2023-05-19T10:43:00,541.55,512.9175,517.9124782368935,58.87241307423632,6.283055327968327,1.4075743204377527,4.875481007530574,20.719208869342836,,8.309999999999995,84.64089957420764,missing_volume
89,2023-05-19T10:44:00,525.1,511.78249999999997,518.5970041190942,52.96800719401819,6.062996443526572,2.3386587450555165,3.7243376984710554,20.70712252153263,,7.558377714051634,67.26176882366353,missing_volume
90,2023-05-19T10:45:00,533.15,512.3725000000001,519.9830037267996,55.32905183819228,6.463656902228536,3.1636583764901203,3.2999985257384155,19.924470912851728,,9.656519950637588,74.12503337379124,missing_volume
91,2023-05-19T10:46:00,515.55,511.93,519.5608128956758,49.48052378458836,5.2999161573116,3.5909099326544163,1.7090062246571835,20.269151561933747,,4.861181734974052,35.65925599823892,missing_volume
92,2023-05-19T10:47:00,516.85,512.0350000000001,519.3026402389447,49.901765274949234,4.4314592642022035,3.7590197989639735,0.67243946523823,19.67849787893848,,5.221905537459293,21.494642975976106,missing_volume
93,2023-05-19T10:48:00,520.8,512.365,519.4452459304738,51.232350069010764,4.015643074282252,3.8103444540276294,0.20529862025462275,19.08360517330002,,5.403764420157842,33.69886041556675,missing_volume
94,2023-05-19T10:49:00,514.85,512.5575,519.0076034609049,49.11618606765693,3.169454970222091,3.682166557266522,-0.5127115870444308,18.941919089492878,,3.915632253506929,11.585779327714855,missing_volume
95,2023-05-19T10:50:00,517.4,514.0074999999999,518.8544983693902,50.068085699749744,2.6737867408846796,3.4804905939901536,-0.806703853105474,18.417496297386236,,2.975420439844756,19.01339618419918,missing_volume
96,2023-05-19T10:51:00,514.6,514.7375,518.4493080484958,48.984476927272716,2.0316103590290595,3.1907145469979348,-1.1591041879688753,18.70196084757293,,0.029157352512387824,-4.831493538148258,missing_volume
97,2023-05-19T10:52:00,508.6,515.7574999999999,517.5112787105438,46.65433981975995,1.0266959816888175,2.757910833936111,-1.7312148522472937,18.108963644174864,,-6.593204775022954,-18.908544065852073,missing_volume
98,2023-05-19T10:53:00,506.5,516.7725,516.4625855000158,45.832570461023664,0.06014829594721505,2.2183583263383317,-2.1582100303911167,17.361894812448085,,-8.689381647737527,-48.19020883841607,missing_volume
99,2023-05-19T10:54:00,516.6,518.02,516.4756725952525,50.36119175168719,0.10789414562600541,1.7962654901958666,-1.6883713445698612,17.443188040130366,,-2.894736842105261,-12.877035328641096,missing_volume
100,2023-05-19T10:55:00,519.7,519.4449999999999,516.7827513957046,51.69605082873804,0.39136574699114135,1.5152855415549216,-1.1239197945637802,16.979388894406764,,-4.034715169421088,-15.724715372440548,missing_volume
